age,gender,yearDriving,drivingFrequency,temp_length,temp_decisiontime,temp_decision_made,temp_correct_decision,temp_danger,temp_difficulty,CarPlacedLeft,CarPlacedRight,numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,Y
26,1,20,1,1,2.27894,1,1,30,82,2,0,4,379.016869322018,381.204435999612,773.580962149406,4,212.125,92.2093406331484,349.5,0,0,0,4,0,0.170231857239842,3.41990169276789,0.0607198765687625,0.495489133965704
26,1,20,1,9,2.44553,4,2,43,94,1,0,12,149.319575488926,243.948692912275,685.763534317771,12,570,909.747692295157,3218,0,3,0,9,0,0.292466978022096,3.06313938694484,0.171225847657981,0.391097612949454
22,1,18,2,1,2.221745,2,2,0,84,0,1,1,278.042684685103,239.66285353866,667.400526263304,1,1033,0,1033,0,0,0,1,0,0.362361000450677,3.58169225999728,0.124083674063105,0.483868613425557
22,1,18,2,6,2.79884,1,2,50,70,0,0,11,190.730774389166,234.163446380941,701.335007325315,11,380.090909090909,386.171323260921,1506.5,0,1,0,10,0,0.863166678950312,4.33014669512792,0.311053628681574,0.333854044693316
22,1,18,2,3,2.74133,1,2,9,69,0,0,6,387.899734564487,272.40125478742,588.065381143968,6,467,332.476014172451,996.5,3,0,0,3,0,0.937287654074171,4.09678130295782,0.293963657541446,0.338407406039874
22,1,18,2,9,1.67815,1,2,11,69,0,1,15,259.724002914739,176.472272108719,502.026319031184,15,574.633333333333,348.818795911219,1537,5,0,0,10,0,0.935842523599962,4.19430461411326,0.284029829663036,0.125274165386156
22,1,18,2,12,2.09234,1,2,18,75,1,1,21,247.427567330076,274.430138637248,744.908484311999,21,479.404761904762,376.896624389488,1491,3,1,2,14,1,0.914330522624951,4.30213812735066,0.259479390703465,0.342054071348111
22,1,18,2,3,2.24598,1,1,18,79,0,0,7,394.565593857879,221.839165652751,647.17809179545,7,390.785714285714,218.996738397108,761,0,0,0,5,2,1.00890537232502,4.02055294892164,0.305586466835314,0.401636003038651
22,1,18,2,12,2.32499,1,1,14,74,1,0,19,282.677865302583,271.103789052123,772.169451933965,19,601.868421052632,470.881556294658,1916.5,6,1,0,11,1,1.31405792915389,4.11101198018456,0.341003067642493,0.198184946045711
22,1,18,2,3,3.27321,2,2,69,79,0,0,8,206.0929824386,169.406880538501,518.769083986315,8,355,223.502157228324,788.5,5,0,0,3,0,0.808433284498143,3.88514442963918,0.274972076826409,0.418684763312037
22,1,18,2,6,4.27758,4,4,80,70,1,1,9,242.844710380474,149.872732369005,409.409773332294,9,273.777777777778,220.429993295932,849.5,2,0,0,7,0,0.890061904337673,4.13332048702617,0.294078001352377,0.218748615695191
22,1,18,2,6,2.77967,3,3,75,84,0,0,12,275.950675296318,277.22663154933,760.94613804132,12,439.125,357.562780565112,1208,5,0,0,7,0,0.829428231939815,3.95972412855814,0.22681138487959,0.444636401365504
22,1,18,2,9,2.3721,1,1,15,79,1,0,17,223.762983874299,211.611278691376,672.319451600205,17,508.176470588235,422.47488613143,1589.5,6,0,0,11,0,0.846812191333923,4.21896085422497,0.226158440126781,0.449841329920963
22,1,18,2,1,2.25227,4,4,88,70,1,1,1,277.053728945372,237.593105065603,660.361677416248,1,1036,0,1036,0,0,0,1,0,0.352371996384079,3.60250216888882,0.120015797526605,0.44915672380047
22,1,18,2,3,2.22239,2,23,80,89,0,0,6,290.634199472316,289.80814432397,716.445325897238,6,338.5,171.764664585007,586,1,0,0,4,1,0.93860292477059,3.92194410673135,0.270795848937849,0.360116919792654
22,1,18,2,9,2.12479,2,2,75,70,0,1,19,211.227524895202,223.388444917304,621.082371751123,19,444.263157894737,561.487047649688,2514,10,0,0,9,0,0.891948509274688,4.28195226110999,0.214428524833601,0.2194873797715
22,1,18,2,1,2.30404,1,1,18,88,1,1,2,256.802649767296,290.97929590435,462.556083086149,2,286,140.007142674936,385,0,0,0,2,0,0.411263290885616,3.86673959226835,0.13826581429639,0.372843920645965
22,1,18,2,1,2.67177,3,3,42,89,2,0,2,491.356025029382,232.055194586655,655.44382673117,2,374,169.705627484771,494,0,0,0,2,0,0.387665117541633,3.63310205458129,0.137347312252036,0.364321124412184
22,1,18,2,9,1.70665,2,23,70,71,0,0,21,381.27491922509,360.2346080028,1297.01897634537,21,333.809523809524,282.285647713025,1146,7,1,2,9,2,1.02330324965942,4.22599624629088,0.266046491386582,0.1913326967739
22,1,18,2,20,1.51047,1,1,17,75,1,0,5,63.561604204052,26.443701305969,103.269078140555,5,3783,6573.89751213084,15524.5,0,0,0,5,0,0.665208558602942,4.12065255193443,0.181958134914879,0.281809184754869
22,1,18,2,3,1.4893,1,1,6,65,1,0,9,331.514124995106,297.970102707169,909.372251885882,9,295.944444444444,159.054912774733,627,3,1,0,5,0,0.722612742272392,4.07653646850266,0.254431520367384,0.230182753312252
22,1,18,2,20,1.67208,1,1,15,76,1,0,38,306.563292538904,283.878071531711,1211.33204469295,38,492.368421052632,704.84602194486,3612,22,1,2,13,0,1.33278367883805,4.23476396176992,0.264921712114837,0.0798506412340326
22,1,18,2,9,2.12833,3,3,64,76,1,0,17,326.991987462548,251.905572251287,625.544762586979,17,498.382352941176,470.361447765564,2008.5,7,0,0,10,0,1.03278150577201,4.05493190818801,0.218537320781778,0.0778389031799808
22,1,18,2,9,1.4954,1,1,16,70,0,1,15,224.188012794034,248.466452721479,723.234154682977,15,550.5,548.775585150381,2173,7,0,0,8,0,0.702951783469047,3.71871912747371,0.163539142540046,0.172661215689089
22,1,18,2,6,0.83417,3,23,60,67,0,0,12,271.719383695702,227.38486612876,696.846742476421,12,244.458333333333,135.902782487625,577.5,5,0,0,7,0,0.591889122728444,3.87682570332568,0.22049940241953,0.1420120778793
22,1,18,2,1,1.47088,2,2,69,75,0,1,3,453.602390485799,305.251805102531,644.447957557474,3,295,166.202436805241,479.5,2,0,0,1,0,0.398369206094384,3.34923685960505,0.107138797794803,0.431695757138879
22,1,18,2,1,3.24231,4,1,50,82,1,1,3,319.8745394987,293.754133538137,635.57319012054,3,278.5,80.6396304555025,334,1,0,0,2,0,0.305577768823847,3.50554950827607,0.0902336070392537,0.121658175729203
22,1,18,2,3,0.74702,3,3,74,87,0,0,9,292.926180351562,254.851446504086,697.374406255349,9,304.555555555556,169.166235631635,609.5,3,1,0,5,0,0.757244221392529,3.82690251930161,0.241335488612995,0.217067735837629
22,1,18,2,6,2.00486,2,2,69,84,1,1,13,175.132532729752,161.271266100425,500.742274029265,13,440.230769230769,386.337752458078,1331.5,4,0,0,8,1,0.540630193043508,3.72165157514945,0.161497379404308,0.136542109704118
22,1,18,2,1,0.72995,3,23,71,86,0,0,2,662.869379291777,11.3205342041712,670.874205794201,2,393,199.404112294606,534,1,0,0,1,0,0.473798115213306,3.48695779499909,0.151518420717748,0.272717079990942
22,1,18,2,3,2.44468,4,4,90,85,1,1,6,233.869401755815,217.424742168073,621.6502312394,6,227.5,136.712471998717,466.5,2,0,0,3,1,0.834374469712876,3.76881389567183,0.233404363889291,0.201772952563874
22,1,18,2,6,1.14414,1,1,13,67,0,0,13,217.919538310178,180.029039947917,552.94783886005,13,253.692307692308,194.24474879877,875,4,0,0,7,2,0.725432734490049,4.00406722549473,0.266430053208779,0.192115176980144
