numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,SA
16,292.6990478,323.3412427,1078.226281,16,311.78125,206.4903524,897.5,6,2,1,7,0,0.999166067,3.494630631,0.254501344,0.146138136
16,368.596715,377.6469771,1172.952063,16,329.21875,199.3282861,735.5,4,3,2,7,0,0.787610701,3.655087268,0.266018543,0.253630416
14,247.7638059,317.5347187,1168.345994,14,303.4285714,141.3842088,580,5,2,0,7,0,0.952162339,3.837138201,0.229742987,0.242194999
5,461.0464992,253.3853774,732.3540281,5,538,591.2026937,1523,1,0,1,2,1,0.801627305,3.694242176,0.271417099,0.355387066
6,300.7729375,198.5098198,543.1957704,6,415,267.8900894,703,1,0,0,5,0,0.338124848,3.542351058,0.130951005,0.258506344
2,101.1223564,12.11695419,109.6903369,2,160.5,25.45584412,178.5,0,0,0,2,0,0.266834577,3.32189023,0.079370587,0.440566697
15,381.4388239,314.0839059,804.4223657,15,461.3,440.0583484,1519,0,2,1,11,1,1.030419183,3.848483127,0.290349422,0.290143936
54,337.994874,339.4494051,1307.01655,54,321.5092593,276.5715897,1824.5,13,8,5,28,0,1.044162045,3.998231737,0.300656896,0.468954607
19,312.9183749,272.9146354,818.6862555,19,580.2368421,745.1682205,3454.5,3,1,1,14,0,0.964147516,3.774883252,0.289002015,0.154106586
2,85.79401572,5.477338175,89.66707869,2,370.5,239.7091988,540,0,0,0,2,0,0.14992293,3.144630506,0.046335382,0.493352335
1,274.6595002,237.1905086,652.4893198,1,1026,0,1026,0,0,0,1,0,0.22569857,3.426155994,0.083438378,0.396749648
10,367.6851641,283.3163521,741.668821,10,490.55,895.7751283,3024.5,2,1,0,7,0,1.034884305,3.653545919,0.289898894,0.263170436
20,372.7440019,340.9508796,1226.066583,20,379.75,510.412488,2449,11,1,2,6,0,1.0956386,3.552048814,0.294748872,0.25788965
23,265.6654667,277.5468744,981.6199697,23,354.6521739,312.6169757,1412.5,5,3,0,15,0,0.56283192,3.712221494,0.187938879,0.544423714
12,304.6668463,354.4599639,1156.882087,12,449.5,460.5461185,1403.5,2,1,2,7,0,0.376237813,3.43100878,0.198710643,0.166653781
8,146.767322,194.8542662,618.8245006,8,341.5625,221.0491926,753.5,1,0,0,7,0,0.516014361,3.248719477,0.182306788,0.168917588
5,187.6883891,192.7541216,510.5957941,5,560.9,458.7651087,1164,0,0,0,5,0,0.591297996,3.552353564,0.249864767,0.572619978
22,314.7098807,266.0569707,1027.822361,22,370.3181818,282.1321265,1045.5,8,1,0,13,0,1.078556199,3.817368645,0.331495356,0.190044916
3,361.6285018,155.5585903,463.9539767,3,286.6666667,83.5783066,378,1,0,0,2,0,0.073682667,3.320674321,0.031699063,0.325883489
40,342.1862409,333.9979392,1176.247904,40,273.8,140.3516097,805,17,3,4,16,0,1.022927061,3.907559999,0.30705363,0.336756777
15,296.9023862,266.1928408,771.4195762,15,365.5333333,349.6097552,1496.5,4,1,0,10,0,0.89195259,3.593491903,0.262092334,0.412228448
47,255.8949409,220.7484171,763.408431,47,398.0638298,344.269179,1666.5,21,0,0,25,1,0.794418658,4.181116404,0.32039492,0.048749004
3,114.6959728,63.31870358,166.85,3,187.1666667,50.17552524,244,0,0,0,3,0,0.861244042,3.484065836,0.266191185,0.33287779
23,328.4665498,235.0289654,673.4289866,23,362.7391304,229.4990032,1018.5,10,0,1,11,1,0.830778029,3.580212987,0.286038544,0.153823898
12,295.3657925,284.5297746,708.3455266,12,441.125,190.5555425,796.5,5,0,1,5,1,0.868651309,3.291539684,0.181495643,0.171920923
23,289.363775,252.5684838,820.1294928,23,481.1521739,381.1542409,1493,6,1,0,15,1,1.296913563,3.640863102,0.315259729,0.326144604
3,295.4803582,178.631179,445.8023329,3,306.5,154.6512205,483.5,1,0,0,2,0,-0.024381937,3.065287751,0.051926433,0.233434148
15,392.9070409,369.1102522,1261.157957,15,378.2333333,394.5780688,1673,6,1,0,8,0,1.168946391,3.626237106,0.318803148,0.171116659
14,265.1135675,170.0705099,481.2487532,14,266.5357143,153.7957517,631,5,0,0,9,0,0.937331612,3.456512299,0.257536468,0.278999717
7,306.960614,170.4758598,490.9994756,7,404.5714286,341.8604038,1097,1,0,0,5,1,0.674646942,3.339078337,0.241281428,0.213060874
4,300.4427827,292.5702792,680.3217364,4,196.75,58.01221136,264.5,2,0,0,2,0,0.26042363,3.007998558,0.114785863,0.348425474
4,128.8568934,63.54004411,182.9506832,4,227.875,50.58223502,277.5,0,0,0,4,0,0.520686359,3.051929731,0.191315471,0.229382164
8,179.9405226,168.1407634,553.8454387,8,344.75,215.3527007,774,1,0,0,6,1,0.590661615,3.274184899,0.207491412,0.278692162
13,197.0094436,240.6037517,659.1510297,13,372.3461538,255.3373899,842,3,0,2,8,0,0.722469076,3.322813932,0.259025648,0.22476857
18,224.3289125,190.1379978,529.4950259,18,326.7777778,239.7912832,1039.5,8,0,0,8,2,1.135486771,3.546170722,0.35782491,0.164366221
2,92.30223293,20.00695106,106.4492837,2,235.5,25.45584412,253.5,0,0,0,2,0,0.14228188,3.267189741,0.071072274,0.222759837
31,237.4880322,218.8376955,715.4023344,31,345.6451613,243.8276096,939.5,8,0,1,21,1,0.796955931,3.769349336,0.250947814,0.293210207
16,180.660914,161.6228761,527.1360356,16,360.375,224.9240983,962,2,0,0,13,1,1.018926296,3.618035218,0.276408461,0.099453468
32,227.3950584,188.6551687,576.275737,32,592.921875,722.0576234,3728.5,17,0,0,14,1,1.030704842,3.888384393,0.317295765,0.12440305
23,340.1178455,293.1256081,1122.151502,23,333.6086957,193.8026149,957,11,2,0,10,0,0.613590992,3.571155046,0.219205079,0.286886143
4,305.5724354,159.345154,443.1863519,4,224.875,45.56017084,271,0,0,0,3,1,0.366521691,3.127888573,0.109454906,0.359190411
6,266.4956367,214.1020231,586.5695291,6,315.0833333,214.2170434,694,3,0,0,3,0,0.863834013,3.273623104,0.23287489,0.186830341
12,219.3621803,171.949804,479.8508336,12,220.0416667,113.8157319,521.5,5,0,0,7,0,0.405004978,3.323918635,0.125153292,0.296634037
3,257.8017782,325.4781536,632.0218054,3,261,137.3935952,392,0,0,0,3,0,0.234893747,3.237621288,0.116892433,0.356785472
9,169.3743615,163.8561587,553.3115081,9,313.0555556,230.4431118,822.5,2,0,0,6,1,0.331574868,3.190871369,0.104747042,0.184713184
15,266.6573419,216.6424502,555.7966377,15,377.3666667,371.3552144,1573.5,8,0,0,7,0,0.748931367,3.520580089,0.196171576,0.147099286
15,159.4322354,140.0816847,452.649768,15,335.0666667,319.9863762,1192,6,0,0,9,0,0.652699111,3.364853789,0.229365222,0.132002786
19,260.2937379,236.0543968,613.7349143,19,324.7368421,182.7977304,808.5,9,0,0,9,1,1.178209825,3.659681971,0.346476367,0.206927222
10,362.9543828,181.7368787,688.5827546,10,416.75,337.6332864,1268.5,6,0,0,4,0,0.753174379,3.423234343,0.211196786,0.145061773
3,81.15877662,44.79343665,114.4456749,3,197.8333333,51.69703409,253,0,0,0,3,0,0.252278076,2.776974139,0.092391924,0.495956873
7,219.0217248,190.8723465,495.381613,7,397.6428571,433.1613166,1344.5,0,0,0,6,1,0.455564255,3.097872138,0.168074527,0.320286831
21,369.266296,336.5641751,1144.332846,21,357.8809524,425.0297903,1961,7,2,0,12,0,0.65301601,3.166364232,0.220235758,0.112735333
14,313.1269167,257.899891,729.3712498,14,386.5714286,200.7918801,790,2,2,0,9,1,0.442813346,2.969795647,0.153187955,0.365540845
24,287.6662884,297.0442078,927.0469581,24,440.4583333,479.7950178,1921.5,6,1,2,14,1,1.031920362,3.15357482,0.277682703,0.327221568
42,286.2942974,255.4151339,820.8567536,42,444.5714286,347.8729368,1731,23,0,1,18,0,0.802858601,3.037559954,0.229110199,0.209640312
2,132.1087034,5.160522469,135.7577438,2,164.5,39.59797975,192.5,0,0,0,2,0,0.443511044,2.493613959,0.153047223,0.355980826
1,274.7670677,237.4056752,652.3081852,1,1029,0,1029,0,0,0,1,0,0.473073123,2.596958715,0.157265083,0.385451607
9,238.0049839,237.5931051,672.3531959,9,351.5,302.060321,1109,2,0,0,7,0,0.665193669,2.676487222,0.157673855,0.22467978
1,454.9357097,0,454.9357097,1,723.5,0,723.5,0,0,0,1,0,0.352226545,2.437526544,0.120926212,0.471460079
7,437.012078,215.3653188,703.0252787,7,250.3571429,100.0448709,444,2,0,0,5,0,0.762620159,2.833605469,0.224125593,0.390102373
8,328.434788,260.6379736,686.0794506,8,330.75,272.3064188,973.5,3,0,0,5,0,0.119815389,2.7029177,0.11867439,0.322698033
14,281.1541857,343.0025015,1159.35854,14,436.9285714,732.2350625,2918,2,2,0,9,1,0.79667546,2.737802097,0.194734449,0.236914685
13,357.5000328,237.8456252,687.3601676,13,422.2692308,324.6228334,1114,6,0,0,7,0,0.845888906,2.697586827,0.205444271,0.327628726
29,296.2891775,281.3535859,854.7305906,29,380.8448276,201.8827057,878.5,6,1,0,22,0,0.785558964,2.738348055,0.161586054,0.224385283
17,294.5615412,232.656786,667.3939335,17,296.2647059,151.7570136,767,7,1,0,9,0,0.62763514,2.629819128,0.166958662,0.207620831
7,252.671431,321.9474176,728.4821068,7,353.8571429,214.4342779,804,1,0,0,6,0,0.515709083,2.572890545,0.165275131,0.175287241
